date,day_sin,day_cos,week_sin,week_cos,month_sin,month_cos,quarter_sin,quarter_cos,year,open,high,low,volume,ema20,ema50,ema200,rsi14,macdline,macdsignal,atr14,bollingermid,bollingerlow,bollingerup,tr10by,tr2by,cds10,cds2,usdtry,xauusd,dollarindex,brentoil,emergingeem,sp500,dax,Nikkei,vix,pmi,pmi_upt,pmi_ds,m2,m2_upt,m2_ds,inflationyoy,inf_upt,inf_ds,interestrate,int_ump,int_ds,unemployment,unemp_upt,unemp_ds,gdpgrowth,gdp_upt,gdp_ds,fedrate,fed_upt,fedrate_ds,dif,close
31.08.2023,-0.866025403784439,0.5,-0.845596003501826,-0.533823377964791,-0.866025403784438,-0.5,-1,-1.83697019872103e-16,2023,7964.48,8005.82,7880.56,4.42,7569.68966378816,6941.10569600061,5480.50417904037,63.1781594888391,284.837929063297,312.214014587638,242.310278907938,7638.7325,7250.91218958075,8026.55281041925,18.45,18.58,430.98,243.4,26.6502,1939.74,103.62,86.86,39.17,4507.66,15947.08,32619.34,13.57,49.9,0,21,12025319967,0,21,47.8,0,19,25,0,4,9.6,0,14,3.8,1,0,5.5,0,25,10.8000000000002,7917.93
01.09.2023,-2.44929359829471e-16,1,-0.845596003501826,-0.533823377964791,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,7966.65,8060.92,7930.09,4.23,7616.016362475,6984.83174713784,5506.13219715938,60.2136333205815,290.253424551007,307.821896580312,229.067575053547,7680.463,7302.17576977463,8058.75023022537,18.45,19.7,440.55,252.86,26.6311,1938.8,104.24,88.55,39.63,4515.77,15840.34,32710.62,13.09,49,1,0,12349310010,1,0,47.8,0,20,25,0,5,9.6,0,15,3.8,0,1,5.5,0,26,138.19,8056.12
04.09.2023,0.866025403784439,-0.5,-0.902797829965744,-0.43006520227652,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8141.33,8238.89,8126.01,5.21,7666.04623271548,7030.1846197991,5532.35307081948,61.6400698490638,297.985981704614,305.854713605173,222.894565046407,7717.501,7310.62513195694,8124.37686804305,18.45,21.12,435.45,247.88,26.7395,1938.19,104.24,89,39.63,4515.77,15824.85,32939.18,13.82,49,0,1,12349310010,0,1,58.9,1,0,25,0,6,9.6,0,16,3.8,0,2,5.5,0,27,85.21,8141.33
05.09.2023,1.22464679914735e-16,-1,-0.902797829965744,-0.43006520227652,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8161.14,8236.14,8090.21,5.55,7720.34087721877,7077.47698765012,5559.25642334864,65.2911655031261,308.211592218642,306.326089327866,212.632623040219,7755.803,7305.12137345031,8206.48462654969,18.45,21.68,435.07,246.93,26.7646,1925.81,104.81,90.04,39.31,4496.83,15771.71,33036.76,14.01,49,0,2,12349310010,0,2,58.9,0,1,25,0,7,9.6,0,17,3.8,0,3,5.5,0,28,94.8099999999995,8236.14
06.09.2023,-0.866025403784438,-0.5,-0.902797829965744,-0.43006520227652,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8291.55,8298.54,8127.88,5.98,7764.27698415031,7120.77867440893,5585.35009077801,64.3536557731315,308.365542425147,306.733979947323,207.036273301523,7794.2765,7335.7923531226,8252.7606468774,18.45,21.83,437.57,247.89,26.7923,1916.28,104.86,90.6,39.09,4465.48,15741.37,33241.02,14.45,49,0,3,12349310010,0,3,58.9,0,2,25,0,8,9.6,0,18,3.8,0,4,5.5,0,29,-54.4699999999993,8181.67
07.09.2023,-0.866025403784439,0.5,-0.902797829965744,-0.43006520227652,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8218.47,8358.03,8218.47,5.1,7818.88584280266,7168.49990286348,5612.73635853146,65.3827987461892,317.416465892635,308.870477136385,202.946103527987,7831.1275,7322.44251076951,8339.81248923048,21.62,22.01,445.22,252.84,26.7827,1919.19,105.06,89.92,38.63,4451.14,15718.66,32991.08,14.4,49,0,4,12349310010,0,4,58.9,0,3,25,0,9,9.6,0,19,3.8,0,5,5.5,0,30,156,8337.67
08.09.2023,-2.44929359829471e-16,1,-0.902797829965744,-0.43006520227652,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8371.33,8398.44,8295.67,4.86,7867.11576253574,7213.86461255511,5639.72704153115,74.9955365662958,319.903582958129,311.077098300734,189.589289724256,7875.3175,7355.71162997623,8394.92337002377,21.62,22.3,448.68,249.39,26.8228,1917.81,105.09,90.65,38.71,4457.49,15744.75,32606.84,13.84,49,0,5,12349310010,0,5,58.9,0,4,25,0,10,9.6,0,20,3.8,0,6,5.5,0,31,-12.3700000000008,8325.3
11.09.2023,0.866025403784439,-0.5,-0.947326353854191,-0.320269853862838,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8385.55,8403.81,8127.07,5.4,7893.72283277043,7250.43815716079,5664.66995654079,61.5097120597989,303.942508488552,309.650180338298,201.209384427688,7896.923,7369.61575329722,8424.23024670278,21.15,23.68,443.48,242.97,26.8047,1921.66,104.57,90.64,39.19,4487.46,15800.99,32467.76,13.8,49,0,6,12349310010,0,6,58.9,0,5,25,0,11,9.4,1,0,3.8,0,7,5.5,0,32,-178.809999999999,8146.49
12.09.2023,1.22464679914735e-16,-1,-0.947326353854191,-0.320269853862838,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8174.99,8276.17,8081.34,4.73,7919.07303917325,7286.10332746821,5689.4981161772,62.8861535196509,289.04340446266,305.52882516317,200.35879983733,7918.049,7383.84458314699,8452.25341685301,21.15,24.91,445.91,245.94,26.8494,1913.26,104.71,92.06,39.07,4461.9,15715.53,32776.37,14.23,49,0,7,12349310010,0,7,58.9,0,6,25,0,12,9.4,0,1,3.8,0,8,5.5,0,33,13.4099999999999,8159.9
13.09.2023,-0.866025403784438,-0.5,-0.947326353854191,-0.320269853862838,-1,-1.83697019872103e-16,-1,-1.83697019872103e-16,2023,8184.04,8235.96,7977.69,4.57,7928.10322591865,7314.64398129299,5712.62639362817,63.8624164011935,262.428853964168,296.90883092337,208.080293192352,7934.206,7409.4849424586,8458.9270575414,22.04,27.25,452.86,252.92,26.9215,1906.3,104.77,91.88,39.02,4467.44,15654.03,32706.52,13.48,49,0,8,12349310010,0,8,58.9,0,7,25,0,13,9.4,0,2,3.8,0,9,5.5,0,34,-146.009999999999,8013.89
